smartContractEvent,sender,amount0In,amount1In,amount0Out,amount1Out,to,date,tx_hash,smartContract
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,32000000000000,0,0,6780175754788,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,2021-04-04 06:40:33,0x1272497165a16d0f96de4d7d11a9c9c989a6043c8b6541d4d2408ceb1aee0ef6,0xb2a2048de5afb312fcf076abf505952c12916f0d
Swap,0x10ed43c718714eb63d5aa57b78b54704e256024e,0,100288597965479447842482,179886585659136921824,0,0x10ed43c718714eb63d5aa57b78b54704e256024e,2021-04-28 11:01:56,0x2578e9fbe1f1a192f69a787c04b8a29380b466ed31a5aa3922076ea45f142bf0,0x58f876857a02d6762e0101bb5c46a8c1ed44dc16
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,0,16175611816459965278300,424581577889258502005425,0,0x039fce3818accaf546e09ab27654dafc35793bea,2021-04-30 05:26:15,0x40c9e00799adfad28695697130fbe79f0bd71e761e3ff452f3f8e2f9740ffd0f,0xc4b4ac94a73af2a4788aca0204ce0be779999dc9
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,0,1300000000000000000000,48224442824204617193129,0,0x039fce3818accaf546e09ab27654dafc35793bea,2021-04-12 14:39:48,0x56ce8d6cf54adf52f3a3af6342e6813e89253899c06874ac9931cf9fc8cce237,0xc4b4ac94a73af2a4788aca0204ce0be779999dc9
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,23000000000000,0,0,9237562216355,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,2021-04-04 06:38:30,0x6271d9607499837875d46f30a644794456fd5a95409a471c7cfaa848a350fcf1,0xb2a2048de5afb312fcf076abf505952c12916f0d
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,72000000000000,0,0,3054706159795,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,2021-04-04 06:45:57,0x6a298dfc003fef5bcce837311c33a77eae47c1965557ea4bc0da222720e3f6c2,0xb2a2048de5afb312fcf076abf505952c12916f0d
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,61000000000000,0,0,3576183609676,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,2021-04-04 06:45:03,0x8f2d09cb3c6a5411d37ba6c782df6aec08ab0e92a8c5d4245422313736b7de70,0xb2a2048de5afb312fcf076abf505952c12916f0d
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,0,14530854419428622728523,332303037979170254517469,0,0x039fce3818accaf546e09ab27654dafc35793bea,2021-05-19 03:19:22,0x925db25748a64e2cd84baff9006ef1c6d4ef37613577b725b6d9b0583b12911a,0xc4b4ac94a73af2a4788aca0204ce0be779999dc9
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,37000000000000,0,0,5694273723336,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,2021-04-04 06:41:18,0xa5a0e2b16c22f5fc65eac62e04f9d176a10e34ac105ac0dd10af095867f1154a,0xb2a2048de5afb312fcf076abf505952c12916f0d
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,0,493848926200000000000,11198054421020318839520,0,0x039fce3818accaf546e09ab27654dafc35793bea,2021-04-04 11:07:56,0xaf0e2f028464799694075cab9f9f7720e66aed90a57c912d90408ad9910ed101,0xc4b4ac94a73af2a4788aca0204ce0be779999dc9
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,27000000000000,0,0,7882744699006,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,2021-04-04 06:39:39,0xd165d1864a13427b92d96cd7b9cfc328efe84aab28d67fdba3927d6856100327,0xb2a2048de5afb312fcf076abf505952c12916f0d
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,100000000000000,0,0,1674712386117,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,2021-04-04 06:52:42,0xe020e57e113110e88e051750cef476542ff1e0a2871a73401f53639eb3a14fa6,0xb2a2048de5afb312fcf076abf505952c12916f0d
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,44000000000000,0,0,4919688062535,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,2021-04-04 06:43:24,0xe8f3d328e7e05caa9b81a88425a57ec3626092fc84c73c30d4d5ccc9554ce0c6,0xb2a2048de5afb312fcf076abf505952c12916f0d
Swap,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,52000000000000,0,0,4211294323151,0x151030a9fa62fbb202eee50bd4a4057ab9e826ad,2021-04-04 06:44:18,0xf9f81ad1f63036da5966456427d30a524bb25990a5a7fd6071058689def7ee6b,0xb2a2048de5afb312fcf076abf505952c12916f0d
